year,nominate,winner
2018年,,《乐队来访时》
1950年,,《南太平洋》
2001年,《一脱到底》,《制作人》
2003年,,《发胶明星梦》
1996年,,《吉屋出租》
2009年,,《舞动人生》
1951年,,《红男绿女》
2015年,,《开心窝》
2014年,,《爱与谋杀的绅士指南》
2004年,,《Q大道》
1954年,,《命运》
1953年,,《迷人的城市》
1956年,,《该死的美国佬》
2000年,,《接触》
2006年,,《泽西男孩》
1997年,,《泰坦尼克号》
1999年,,《弗斯》
1957年,,《窈窕淑女》
1955年,《丝袜》,《睡衣游戏》
2019年,,《冥界》
1959年,,《褐发女郎》
1998年,,《狮子王》
2011年,《猫鼠游戏》,《摩门经》
2012年,《修女也疯狂》,《曾经》
1958年,《镇上新来的女孩》,《音乐奇才》
1952年,,《国王与我》
2007年,,《春之觉醒》
2010年,,《孟斐斯》
2005年,《偷心大少》,《火腿骑士》
1995年,,《日落大道》
2013年,,《长靴妖姬》
1949年,,《野蛮公主》
2002年,,《蜜莉姑娘》
2008年,,《身在高地》
2017年,,《致埃文·汉森》
2016年,,《汉密尔顿》
