获奖影片,#,上映日期,获奖影片(英)
西线无战事,3,1930年8月24日,All Quiet on the Western Front
一个美国人在巴黎,24,1951年8月26日,An American in Paris
鸟人,87,2014年8月27日,Birdman or (The Unexpected Virtue of Ignorance)
芝加哥,75,2002年12月27日,Chicago
乱世忠魂,26,1953年8月5日,From Here to Eternity
寄生虫,92,2019年5月21日,Parasite
角斗士,73,2000年5月5日,Gladiator
雨人,61,1988年12月16日,Rain Man
艺术家,84,2011年10月12日,The Artist
雾都孤儿,41,1968年9月26日,Oliver!
青山翠谷,14,1941年10月28日,How Green Was My Valley
逃离德黑兰,85,2012年8月31日,Argo
为奴十二年,86,2013年11月8日,12 Years a  Slave
汤姆·琼斯,36,1963年10月6日,Tom Jones
一夜风流,7,1934年2月22日,It Happened One Night
大马戏团,25,1952年1月10日,The Greatest Show on Earth
野战排,59,1986年12月19日,Platoon
王子复仇记,21,1948年5月6日,Hamlet
骗中骗,46,1973年12月25日,The Sting
百万美元宝贝,77,2004年12月15日,Million Dollar Baby
码头风云,27,1954年8月6日,On the Waterfront
阿拉伯的劳伦斯,35,1962年12月10日,Lawrence of Arabia
浮生若梦,11,1938年8月23日,You Can't Take It with You
炎热的夜晚,40,1967年8月2日,In the Heat of the Night
贫民窟的百万富翁,81,2008年8月30日,Slumdog Millionaire
指环王：国王归来,76,2003年12月17日,The Lord of the Rings: The Return of the King
沉默的羔羊,64,1991年2月14日,The Silence of the Lambs
不可饶恕,65,1992年8月3日,Unforgiven
蝴蝶梦,13,1940年3月21日,Rebecca
当代奸雄,22,1949年11月8日,All the King's Men
英国病人,69,1996年12月6日,The English Patient
与狼共舞,63,1990年11月21日,Dances with Wolves
无依之地,93,2020年9月11日,Nomadland
彗星美人,23,1950年10月13日,All About Eve
桂河大桥,30,1957年10月2日,The Bridge on the Kwai
午夜牛郎,42,1969年5月25日,Midnight Cowboy
克莱默夫妇,52,1979年12月19日,Kramer vs. Kramer
美国丽人,72,1999年9月8日,American Beauty
老无所依,80,2007年5月19日,No Country for Old Men
君子协定,20,1947年11月11日,Gentleman's Agreement
窈窕淑女,37,1964年12月25日,My Fair Lady
走出非洲,58,1985年12月10日,Out of Africa
桃色公寓,33,1960年6月15日,The Apartment
阿甘正传,67,1994年6月23日,Forrest Gump
国王的演讲,83,2010年9月6日,The King's Speech
美丽心灵,74,2001年12月13日,A Beautiful Mind
大饭店,5,1932年9月11日,Grand Hotel
翼,1,1927年5月19日,Wings
拆弹部队,82,2009年9月4日,The Hurt Locker
无间行者,79,2006年9月26日,The Departed
日月精忠,39,1966年12月12日,A Man for All Seasons
猎鹿人,51,1978年12月8日,The Deer Hunter
壮志千秋,4,1931年2月9日,Cimarron
音乐之声,38,1965年3月2日,The Sound of Music
撞车,78,2004年9月10日,Crash
君子好逑,28,1955年4月11日,Marty
百老汇歌舞,2,1929年2月1日,The Broadway Melody
教父,45,1972年3月15日,The Godfather
法国贩毒网,44,1971年10月9日,The French Connection
水形物语,90,2017年8月31日,The Shape of Water
聚焦,88,2015年9月3日,Spotlight
莎翁情史,71,1998年12月11日,Shakespeare in Love
与我同行,17,1944年5月3日,Going My Way
左拉传,10,1937年10月2日,The Life of Emile Zola
叛舰喋血记,8,1935年11月8日,Mutiny on the Bounty
乱世春秋,6,1933年1月5日,Cavalcade
莫扎特传,57,1984年9月19日,Amadeus
泰坦尼克号,70,1997年12月19日,Titanic
末代皇帝,60,1987年10月23日,The Last Emperor
绿皮书,91,2018年9月11日,Green Book
安妮·霍尔,50,1977年4月20日,Annie Hall
烈火战车,54,1981年3月30日,Chariots of Fire
乱世佳人,12,1939年12月15日,Gone with the Wind
普通人,53,1980年9月19日,Ordinary People
卡萨布兰卡,16,1942年11月26日,Casablanca
宾虚,32,1959年11月18日,Ben-Hur
勇敢的心,68,1995年5月18日,Braveheart
甘地传,55,1982年12月3日,Gandhi
黄金时代,19,1946年11月21日,The Best Years of Our Lives
洛奇,49,1976年12月3日,Rocky
环游世界八十天,29,1956年10月17日,Around the World in 80 Days
飞越疯人院,48,1975年11月19日,One Flew Over the Cuckoo's Nest
为戴茜小姐开车,62,1989年12月13日,Driving Miss Daisy
西区故事,34,1961年10月18日,West Side Story
忠勇之家,15,1942年6月4日,Mrs. Miniver
母女情深,56,1983年12月9日,Terms of Endearment
教父2,47,1974年12月12日,The Godfather Part II
失去的周末,18,1945年11月16日,The Lost Weekend
歌舞大王齐格飞,9,1936年4月8日,The Great Ziegfeld
巴顿将军,43,1970年2月4日,Patton
辛德勒的名单,66,1993年11月30日,Schindler's List
金粉世界,31,1958年5月15日,Gigi
月光男孩,89,2016年9月2日,Moonlight
