year,winner,nominate
1949年,《野蛮公主》,
1950年,《南太平洋》,
1951年,《红男绿女》,
1952年,《国王与我》,
1953年,《迷人的城市》,
1954年,《命运》,
1955年,《睡衣游戏》,《丝袜》
1956年,《该死的美国佬》,
1957年,《窈窕淑女》,
1958年,《音乐奇才》,《镇上新来的女孩》
1959年,《褐发女郎》,
1995年,《日落大道》,
1996年,《吉屋出租》,
1997年,《泰坦尼克号》,
1998年,《狮子王》,
1999年,《弗斯》,
2000年,《接触》,
2001年,《制作人》,《一脱到底》
2002年,《蜜莉姑娘》,
2003年,《发胶明星梦》,
2004年,《Q大道》,
2005年,《火腿骑士》,《偷心大少》
2006年,《泽西男孩》,
2007年,《春之觉醒》,
2008年,《身在高地》,
2009年,《舞动人生》,
2010年,《孟斐斯》,
2011年,《摩门经》,《猫鼠游戏》
2012年,《曾经》,《修女也疯狂》
2013年,《长靴妖姬》,
2014年,《爱与谋杀的绅士指南》,
2015年,《开心窝》,
2016年,《汉密尔顿》,
2017年,《致埃文·汉森》,
2018年,《乐队来访时》,
2019年,《冥界》,
