#,获奖影片,获奖影片(英),上映日期
1,翼,Wings,1927年5月19日
2,百老汇歌舞,The Broadway Melody,1929年2月1日
3,西线无战事,All Quiet on the Western Front,1930年8月24日
4,壮志千秋,Cimarron,1931年2月9日
5,大饭店,Grand Hotel,1932年9月11日
6,乱世春秋,Cavalcade,1933年1月5日
7,一夜风流,It Happened One Night,1934年2月22日
8,叛舰喋血记,Mutiny on the Bounty,1935年11月8日
9,歌舞大王齐格飞,The Great Ziegfeld,1936年4月8日
10,左拉传,The Life of Emile Zola,1937年10月2日
11,浮生若梦,You Can't Take It with You,1938年8月23日
12,乱世佳人,Gone with the Wind,1939年12月15日
13,蝴蝶梦,Rebecca,1940年3月21日
14,青山翠谷,How Green Was My Valley,1941年10月28日
15,忠勇之家,Mrs. Miniver,1942年6月4日
16,卡萨布兰卡,Casablanca,1942年11月26日
17,与我同行,Going My Way,1944年5月3日
18,失去的周末,The Lost Weekend,1945年11月16日
19,黄金时代,The Best Years of Our Lives,1946年11月21日
20,君子协定,Gentleman's Agreement,1947年11月11日
21,王子复仇记,Hamlet,1948年5月6日
22,当代奸雄,All the King's Men,1949年11月8日
23,彗星美人,All About Eve,1950年10月13日
24,一个美国人在巴黎,An American in Paris,1951年8月26日
25,大马戏团,The Greatest Show on Earth,1952年1月10日
26,乱世忠魂,From Here to Eternity,1953年8月5日
27,码头风云,On the Waterfront,1954年8月6日
28,君子好逑,Marty,1955年4月11日
29,环游世界八十天,Around the World in 80 Days,1956年10月17日
30,桂河大桥,The Bridge on the Kwai,1957年10月2日
31,金粉世界,Gigi,1958年5月15日
32,宾虚,Ben-Hur,1959年11月18日
33,桃色公寓,The Apartment,1960年6月15日
34,西区故事,West Side Story,1961年10月18日
35,阿拉伯的劳伦斯,Lawrence of Arabia,1962年12月10日
36,汤姆·琼斯,Tom Jones,1963年10月6日
37,窈窕淑女,My Fair Lady,1964年12月25日
38,音乐之声,The Sound of Music,1965年3月2日
39,日月精忠,A Man for All Seasons,1966年12月12日
40,炎热的夜晚,In the Heat of the Night,1967年8月2日
41,雾都孤儿,Oliver!,1968年9月26日
42,午夜牛郎,Midnight Cowboy,1969年5月25日
43,巴顿将军,Patton,1970年2月4日
44,法国贩毒网,The French Connection,1971年10月9日
45,教父,The Godfather,1972年3月15日
46,骗中骗,The Sting,1973年12月25日
47,教父2,The Godfather Part II,1974年12月12日
48,飞越疯人院,One Flew Over the Cuckoo's Nest,1975年11月19日
49,洛奇,Rocky,1976年12月3日
50,安妮·霍尔,Annie Hall,1977年4月20日
51,猎鹿人,The Deer Hunter,1978年12月8日
52,克莱默夫妇,Kramer vs. Kramer,1979年12月19日
53,普通人,Ordinary People,1980年9月19日
54,烈火战车,Chariots of Fire,1981年3月30日
55,甘地传,Gandhi,1982年12月3日
56,母女情深,Terms of Endearment,1983年12月9日
57,莫扎特传,Amadeus,1984年9月19日
58,走出非洲,Out of Africa,1985年12月10日
59,野战排,Platoon,1986年12月19日
60,末代皇帝,The Last Emperor,1987年10月23日
61,雨人,Rain Man,1988年12月16日
62,为戴茜小姐开车,Driving Miss Daisy,1989年12月13日
63,与狼共舞,Dances with Wolves,1990年11月21日
64,沉默的羔羊,The Silence of the Lambs,1991年2月14日
65,不可饶恕,Unforgiven,1992年8月3日
66,辛德勒的名单,Schindler's List,1993年11月30日
67,阿甘正传,Forrest Gump,1994年6月23日
68,勇敢的心,Braveheart,1995年5月18日
69,英国病人,The English Patient,1996年12月6日
70,泰坦尼克号,Titanic,1997年12月19日
71,莎翁情史,Shakespeare in Love,1998年12月11日
72,美国丽人,American Beauty,1999年9月8日
73,角斗士,Gladiator,2000年5月5日
74,美丽心灵,A Beautiful Mind,2001年12月13日
75,芝加哥,Chicago,2002年12月27日
76,指环王：国王归来,The Lord of the Rings: The Return of the King,2003年12月17日
77,百万美元宝贝,Million Dollar Baby,2004年12月15日
78,撞车,Crash,2004年9月10日
79,无间行者,The Departed,2006年9月26日
80,老无所依,No Country for Old Men,2007年5月19日
81,贫民窟的百万富翁,Slumdog Millionaire,2008年8月30日
82,拆弹部队,The Hurt Locker,2009年9月4日
83,国王的演讲,The King's Speech,2010年9月6日
84,艺术家,The Artist,2011年10月12日
85,逃离德黑兰,Argo,2012年8月31日
86,为奴十二年,12 Years a  Slave,2013年11月8日
87,鸟人,Birdman or (The Unexpected Virtue of Ignorance),2014年8月27日
88,聚焦,Spotlight,2015年9月3日
89,月光男孩,Moonlight,2016年9月2日
90,水形物语,The Shape of Water,2017年8月31日
91,绿皮书,Green Book,2018年9月11日
92,寄生虫,Parasite,2019年5月21日
93,无依之地,Nomadland,2020年9月11日
