影片,#
纵横四海,165
神偷奶爸,139
蝙蝠侠：黑暗骑士,27
放牛班的春天,16
驴得水,243
死亡诗社,56
天书奇谭,132
十二怒汉,39
阿飞正传,231
怦然心动,24
疯狂原始人,159
被解救的姜戈,148
战争之王,230
活着,30
花样年华,163
牯岭街少年杀人事件,214
指环王3：王者无敌,31
致命ID,91
辩护人,50
崖上的波妞,239
教父3,143
城市之光,204
倩女幽魂,119
美丽人生,6
冰川时代,189
可可西里,205
哪吒闹海,145
英雄本色,157
飞越疯人院,69
风之谷,155
我是山姆,153
肖申克的救赎,1
机器人总动员,15
青蛇,218
禁闭岛,80
东邪西毒,180
霸王别姬,2
寻梦环游记,29
平民窟的百万富翁,179
阿甘正传,3
黑鹰坠落,249
杀人回忆,92
谍影重重,234
熔炉,20
海街日记,176
地球上的星星,232
穿条纹睡衣的男孩,70
血钻,221
卢旺达饭店,160
聚焦,244
新龙门客栈,217
源代码,215
完美陌生人,233
谍影重重2,228
星际穿越,11
怪兽电力公司,137
你看起来好像很好吃,188
模仿游戏,164
指环王2：双塔奇兵,47
奇迹男孩,198
功夫,108
音乐之声,74
彗星来的那一夜,227
被嫌弃的松子的一生,89
龙猫,23
少年派的奇幻漂流,38
再次出发之纽约遇见你,242
无人知晓,118
小偷家族,185
初恋这件小事,210
射雕英雄传之东成西就,134
哈利波特与魔法石,34
蝴蝶效应,81
辛德勒的名单,8
红辣椒,98
上帝之城,156
爱在午夜降临前,190
我不是药神,42
勇敢的心,95
布达佩斯大饭店,84
东京教父,225
蝙蝠侠：黑暗骑士崛起,114
千钧一发,236
爆裂鼓手,178
釜山行,144
完美的世界,123
末代皇帝,28
达拉斯买家俱乐部,167
海蒂和爷爷,63
阿凡达,75
西西里的美丽传说,71
海边的曼彻斯特,201
九品芝麻官,191
加勒比海盗1：黑珍珠号的诅咒,93
玛丽和马克思,129
新世界,162
恐怖游轮,195
波西米亚狂想曲,213
阳光姐妹淘,135
美国往事,78
未麻的部屋,151
傲慢与偏见,142
喜宴,150
浪潮,245
时空恋旅人,140
拯救大兵瑞恩,72
大话西游之大圣娶亲,19
荒蛮故事,174
追随,248
千与千寻,7
人生果实,111
忠犬八公物语,173
罗马假日,46
情书,67
搏击俱乐部,57
萤火虫之墓,182
入殓师,116
哈利波特与密室,136
2001太空漫游,202
让子弹飞,59
哈利波特与死亡圣器,87
头号玩家,154
魂断蓝桥,216
海洋,224
重庆森林,106
谍影重重3,158
甜蜜蜜,125
指环王1：护戒使者,51
哈利波特与阿兹卡班的囚徒,122
请以你的名字呼唤我,97
告白,131
疯狂的麦克斯：狂暴之路,219
触不可及,26
七武士,149
驯龙高手,128
真爱至上,177
无间道,17
沉默的羔羊,79
雨人,192
绿里奇迹,186
黑客帝国,58
二十二,206
窃听风暴,64
魔女宅急便,197
一个叫做欧维的男人决定去死,147
盗梦空间,9
房间,207
本杰明巴顿奇事,66
色戒,199
香水,235
海豚湾,76
超能陆战队,120
猫鼠游戏,48
燃烧岁月,223
大话西游之月光宝盒,43
三块广告牌,161
东京物语,238
虎口脱险,200
惊魂记,181
寄生虫,175
大闹天宫,52
朗读者,241
喜剧之王,90
断背山,99
菊次郎的夏天,115
血战钢锯岭,146
萤火之森,126
饮食男女,61
恋恋笔记本,194
小森林·冬春篇,112
钢琴家,53
——,113
罗生门,208
穿越时空的少女,229
飞屋环游记,35
幸福终点站,130
教父2,55
岁月神偷,168
美丽心灵,62
楚门的世界,12
小森林·夏秋篇,103
教父,21
电锯惊魂,152
黑天鹅,184
无耻混蛋,220
你的名字,171
大佛普拉斯,211
低俗小说,82
恐怖直播,138
控方证人,25
这个杀手不太冷,4
三傻大闹宝莱坞,14
终结者2：审判日,209
人工智能,203
狮子王,54
黑客帝国3：矩阵革命,166
七宗罪,85
绿皮书,60
我爱你,240
网络迷踪,250
遗愿清单,212
泰坦尼克号,5
消失的爱人,117
何以为家,33
7号房的礼物,100
天使爱美丽,101
天空之城,44
无间道2,226
雨中曲,196
幽灵公主,102
疯狂的石头,193
借东西的小人阿莉埃蒂,124
小鞋子,73
记忆碎片,172
小萝莉的猴神大叔,247
剪刀手爱德华,94
唐伯虎点秋香,109
玩具总动员3,141
阳光灿烂的日子,105
乱世佳人,32
摩登时代,88
疯狂动物城,18
超脱,107
头脑特工队,170
哈利波特与火焰杯,183
当幸福来敲门,22
忠犬八公的故事,10
哈尔的移动城堡,40
黑客帝国2：重装上阵,237
春光乍泄,86
侧耳倾听,121
爱在黎明破晓前,110
心灵捕手,83
心迷宫,169
素媛,36
第六感,104
猜火车,246
无敌破坏王,187
步履不停,222
看不见的客人,68
两杆大烟枪,65
大鱼,133
爱在日落黄昏时,127
海上钢琴师,13
狩猎,96
天堂电影院,49
闻香识女人,45
致命魔术,77
鬼子来了,41
摔跤吧！爸爸,37
