year,album,winner
第52届格莱美奖,《Fearless》,Taylor Swift
第42届格莱美奖,《Supernatural》,Santana
第55届格莱美奖,《Babel》,Mumford & Sons
第63届格莱美奖,《folklore》,Taylor Swift
第59届格莱美奖,《25》,Adele
第46届格莱美奖,《Speakerboxxx/The Love Below》,OutKast
第44届格莱美奖,"《O Brother, Where Art Thou?soundtrack》",Various artists
第61届格莱美奖,《Golden Hour》,Kacey Musgraves
第53届格莱美奖,《The Suburbs》,Arcade Fire
第54届格莱美奖,《21》,Adele
第49届格莱美奖,《Taking the Long Way》,Dixie Chicks
第50届格莱美奖,《River: The Joni Letters》,Herbie Hancock
第43届格莱美奖,《Two Against Nature》,Steely Dan
第56届格莱美奖,《Random Access Memories》,Daft Punk
第57届格莱美奖,《Morning Phase》,Beck
第47届格莱美奖,《Genius Loves Company》,Ray Charles
第62届格莱美奖,"《When We All Fall Asleep, Where Do We Go?》",Billie Eilish
第60届格莱美奖,《24K Magic》,Bruno Mars
第48届格莱美奖,《How to Dismantle an Atomic Bomb》,U2
第45届格莱美奖,《Come Away with Me》,Norah Jones
第58届格莱美奖,《1989》,Taylor Swift
第51届格莱美奖,《Raising Sand》,Robert Plant&Alison Krauss
